user,comment
britneyspears,Verified
jennaandrade1979,She rushes through everything she does like shes about yo get kidnapped
chrsminton,Lovely you lol
micronesian_love_18,@rebornabeast where we went
jpace89,@sadierombach_k21
randidandi84,@anworsham check out the suit
shala_yay,😂
keldecks,Lmao @paigeebrittany us in Hawaii
dmlien,@haleyvik @carlimurphy rising in the A.M. of the morning... beautiful.
nick_prescott,@estupnitsky rising in the AM of the morning
morton_jlf,Whats the song
_laurendowling_,@kate_huddo
bluemountainbel,Y’all @ashfoerhugs @kristeliwatson @blairsie2
srtimcook,😍😍😍😍😍😍😍😍😍
mermaidlove1111,4 million people have already watched this little tiny video.....?
tricountyfrenchies,@tradepapi_
laurenn.bu,@ashhhley.hope ok I’ll talk to you in the AM of the morning. Nite babe 😂😘
oliviaguli,Spring break 2009 @jonahcooper21
greghvnsen,ROCK MY FACE OFF
ghirotti_eli,Dove sei di bello...brava hai bisogno di questo..
gypsy_belladonna,🦈 mommy shark doo doo doo doo 🦈💙🌸
t_m_coop,@_sara_with_an_h
karalarissa_,“Rising in the am of the morning” 👏 @juanytsunami @lindzlouxo
hill_thrower,@angbyrnespiper lol
mackenzieheddy,@sararowan_
justjess124,@thedryhousechic
rastasophi,Rising in the am of the morning 😅😂 I’m crying @mackenziepenney
juliafharrison,@sunday.chandy
brittanyhayes,@snik2305 rising in the am of the morning
kalyhayden,@chelsipeterzalek “rising in the am of the morning” 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️ this girl🤦🏽‍♀️
lin428,@kimmanfrecomedy
asht1120,@erin_vogel325 🤷🏻‍♀️🤷🏼‍♂️🤷🏽‍♂️🤷🏻‍♀️
gracieknight_,this video deserves global recognition @imiheggie
carlyrose29,@amydesgeorges
1jenbunny,@erinkelley0424
jackson_9210,Very Hot 🔥🔥🔥
sophiahannah13,@atlauritahill
princess_amira_11,Nice place جميل
kaitleech,@e_parsons5  wtf 😂
marydailey,@kateymallon
elemeno3,@samantha.rae.goodman this one
corinne_amyyy,@taayyy_tay_ann
alyssa_0418,@caitlin0619
brunopinky,💜TE💖💖 AMOOOOOOOOOOOOOOOOO💜💜💜💜💜💜OOOOOOOOO💖💙💙
shas.tt,Is she doing choreography in the water? Wtf
mrs.beccarich,Philosophical needle
kristagerard1,@_jacobs “rising in the AM of the morning” 😂 oh Brit...
carydoll,Y’all need to take care of this girl. You couldn’t scrape up a friend for her? She just running around for people holding phones or cameras. Put the media away and let this chick rest and heal.
imiheggie,@gracieknight_  best one yet
jacobanthony_r,Come to Puerto Rico Britney !!!
jaybailey2012,Jesus britney
e_parro,@mandymessinger
jli_322,@_cole_paulsen seriously though what is happening
harionmolden,@jaime__mason
daniassss_spamzzz,Song?
megan_fenstermacherrr,@tanner.jacobss
helgapatacki,@vanessapleva the really fast bike 😂
mille140,@ecmiller13
mol_christine23,@haleybax1664
celinagongaelvis,I love this video. You have such a great talent . Love the song
barbaraaabonita,😂😂😂😂😂
tenp980,❤️❤️❤️❤️
tenp980,😍😍😍😍
b_elizabeth28,@aleeshataryn
