user,comment
britneyspears,Verified
chrsminton,Fun
yourgirlshaina,😘😘😘
puga.israel,Omg these comments 😂😂😂 I can’t @lizbethpuga
courtney_day44,@banana_cognac is she okay ?
natan27_,@lauri_midori 😍
ghostlorde99,What is wrong with her face 🤢😷
jacquiperrotti,Here’s my advice... use a makeup wipe and get off social media
christine.viola14,@mybeautifu1one ....
break_up_with_arianas_7_rings_,You're really cute 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
alex_cpm_22_brasil,Love😍😍😍😍😍😍😍😍🇧🇷
ninamae_lemon,Y'all I love Britney @tovakatzman @mlouhowell
nikkit401,@roxannerozmus 🤷🏼‍♀️
andiemdc,@christiandbh jajajajajaja las compras jajaja no puedo
asalinasgarza,@dacm6
itsmelc_sparkle,@britneyspears @mhojjo What is happening to our girl?
themachinecreativeofficial,🌈🌈🌸😍👌⭐️❤️🤘
malikala.blonde,"What happened with your face,hair and . eyes makeup😳? Horrible"
by.ummaliyah,@im.rokiya ça se voit elle est fatiguée miskinaaa
josephhfrankk,@madams819
cathylop12,Omg que le pasó?? @pamecarol18 @cindyxmadrid
friesanddisco,@jenkrai
jngurley,@jessssiicaa_
kandis_wise,@jessadraper @hairby.kristigreen - like wtf?
mariasolvicente,"cuantas canciones de britney spears, me an gustado , mucho"
_letrodrigues_,@dslkarine
eatalley,@agscott10 @alex.a.eberly
mandixlou,@karim_hunt
2revelation11,You know I put on another of your posts about their bath salts and skin care so I'm going to show you something else here @britneyspears maybe this would have helped with the depression you've got written on your face.
shiarniej91,@kristianathorn
fella_hc,@katrina_hc @mirandahchaplin @s_clementine it’s the freaking weekend ya’ll
hankinlaw,@kriss10_x0 show amy
l1li4n_,@frida.padilla 🤮
blaire_remmey,@gibbyyyy
cintellez,@tan_tr
trane221088,"Britney,  я вас слушаю еще с 1998 года, у вас спокойной тембр голоса,  приятный. Вы всегда улыбайтесь.  Но,  у вас де есть деньги,  приведите вашу кожу в порядок.  Хоть вы и так прекрасны но можно же и лучше?! Берегите себя."
starseden,So lucky
sassyccxo,Omg so after you said it today I started following Britney. This is literally us after our warehouse binge today hunhun. Is she okay?! 😂 @amgb06
tracysinstag,@twright33 please tell me you were able to score equally cool swag from Aruba
dvervloet,@rnmurta olha ela! Meu deus! Tem que fire the beauty squad
ulzi09,shes too flat... not like a human
pinkysparkles23,❤️❤️❤️From philippines💋💋💋
cinmful,don't wear so much black eyeliner. more natural look would be beautiful  on you.. :)
lilreyreyy,@bigkeat
rharsanti17,"I dont like your eyeline, it’s creepy. And you look like Annabelle"
yseult.lr,😍
lumbee_beauty_,"@jennalindsayyyy girl, you weren’t lying."
carmenaliciavegas,@juleshuezo
britkel1234,@kristenpeuvion
aurore_sry,On dirait une dépressive maintenant @lea_ctvl
valerie_christianne,@gacm_vn 🤪🥳🤩😱
taybrown,@kelseywhite9625 please just watch every video
jessicarosearmstrong,@elbligh3 her beautiful purchases .... lmfao
ann_lou123,@debsforster44 😳
zoekost,@ellearkenbout whattttt is going on with Britney 🤦‍♀️
clemfay,@laurishiltondiv je vois
katelangham13,@samarablaize
biancapruis,@brookegutte
katerina_hdd,❤️❤️❤️❤️❤️❤️❤️❤️❤️🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺🌺☀️☀️☀️☀️☀️☀️☀️
breederall,Ughhh @oliviaahattonn
quaregnaj,😳😳 @jaymepurisima
yhael,@beldoolette
kimberleyannedesign,@gurvan_von_hamon HATS 🤣
hortenzia84,@mivici
yasminfmarcos,Queria esse boné
r.achaelgrove,@alexxmcalister she not ok
syzgn123,One more time my life song nostalgia
luke8845,@natashakeyani_xx ?
jairsalvejorge4,Mulher lindíssima
gypsy_belladonna,🌸🦋🌸🦋
gacm_vn,@valerie_christianne lijkt ze niet een beetje off?
rachralston,@effydevlin
qib_mahd,LoL the comment section is everything 😂😂
littlecatcommunist,@es.trela
underthemylkyway,Mannniicccc eyes
selene6.233001,Not hate but is she talking really fast or did she speed this up or something
jolantaprzybylska_fajter,👌♥️
thinkblu,She smoking dem broken windows @foosgonewild
jada_miller,@destineestamer
shayflawsz,@super_naturral  @queenvic228  @niqueiye  the comments 😩😩😂
srtimcook,Your so so beautiful Britney 😍😍😍😍😍😍😍😍😍😍😍
qofhearts79,"Sweet Britney, don't listen to all the negative talk.  You are beautiful the way you are."
thomfooled,Are you ok?
sarvar_gafurov_,Buni ami qanaqa chiroyli qizidin blyaaa aminga kirib ketipsanu britnihon
andrewkaufman7,VirginiA?
maximematser,@manisha_l ik ga kapot 😭 al haar filmpjes zijn droog for the liver
miss_magz_,@siobenjamin 👍👍😂
lindseyhenn,@emilyandlittleb last but not least
zeynabsharafizadeh1585,خیلی لایک داشت .لطفا پیج منم دیدن کنید
karin7877,Veni a honduras
aye_lexa,@lmsullivan
miapeaya,I love you... but maybe tone it down with the dark eye makeup ! You are beautiful without It!! ♥️
stefiarco,@maria.arco
jenremark,@kaderusselljones
brandan_i_am,"With all the money she has, I think she skipped a few of her Botox sessions. 👵🏻"
oohhmge,@xxjennehxx
montannah96,Is she ok @kate_smyth
eliyahjpg,PLEASE TAKE YOUR EYELINER OFF 🙄
realorangejoe,@shelbyloou looks like you
g_spudge,..... @amazinggg_grace
g_spudge,@thebignegroni
izadorarv,Ela ta bem?
ashhhh1905,❤️❤️
rachaelsingh,@meghansaunders omfg
arle_lima,@hugovbarros traduz p mim
ficorico,holy sh!t @mchannon09 you weren’t kidding!
trending_bestseller,Visit our needle support❤️
mommydonnaj1981__,@itschriscrocker can you tell all these negative Nancy’s to leave her alone..again..one time for the one time 🤷🏽‍♀️🤦🏽‍♀️
sely_selenia,@marlenib11
claudiaheidenreich_,@annamikalgetz
sam_w_newbon,@maroccsta
mellebelle16,@jdg1990 🤦🏼‍♀️
beergirl2299,#amandabynes
heavendoes,What in the adderal medication is this?  We love you Britney...something is off though :/
meganlum2019,Britney u are still lovely
krystalynn20,@xoxo__brianna_
thaispereeira,"Beach, sun..."
grace_schaf,@mickey_schwartz
angeliiee_br,@thatsrightbetch
j.e.s.i,@missy_chaplin
ninasalernoo,@paige_pullman3
llhovey,@jmacd1988 HER HAIR
jlwmsbreland,@haleybharris @meghanmoody #britneywatch2019 #savebritney - look at what we could buy if we had millions of dollars to spend in Turks N Cacao’s 😎
jlwmsbreland,@haleybharris comments #savebritney #britneywatch2019
erinmarleau,That’s some Rapid hypomania speech right there @maceigh
cindickson,This is it  @hoodie32_
kstanioski,@kristina_neary  Idk
colleenboen,@margaretnorden
brunopinky,TE AMOO
laf_libby,@jamiegamber
catherinehillkisenyi,@kelahguthrie
mohammed_twilignt,🤔🤔
mohammed_twilignt,😳😳😳😳😳
julesfabjules,Your trip looks amazing! Take me with u next time!
mille140,@ecmiller13
autuminaa,I like when you don’t have black under your eyes and on top 😭😭😭😭
alliemadzey,Omg she looks wrecked @girldeeds
celebrityteapod,She is just....BEYOND -@parishilton ☕️😬
celinagongaelvis,Life is beautiful
brooklin1981,Wtf is going on???
atomski421,"Oh my god!!! SO MANY haters. What is wrong with you guys?!?! We need to be building each other up, not tearing them down."
lisariley1,Maybe skip the hats next time and pick up some face wash. Yike 🤦🏼‍♀️
all_eyes_on_elle,Is this scripted?
jeswoocardone,@sammyann123
amandayuhas,@sweetcaroline77
madscalls,@esculls23
che_aubrey,Those are cool hats ❤
malloryryanf,@kristen_keenan what
alexandre_bucci,"Gente, o que aconteceu com ela?"
nickicluett,@scluett2
devvieboy,"Girl, you ok? WTH"
stephaniehilzen_xo,@alopez_89
alliebadolato,@srg1003 wut
tay.lacour,@taylorhchauvin
taylorhchauvin,@meggtrahan
vicag12,@ria_lity es me 3 or makeup e chi makrum
mille140,@sophiemiller33
saigelovell,@brendanpasley
jaybailey2012,😉😉😉😉👌🏿👌🏿👌🏿
__emstagram____,@proskurniak shoulda bought those Cuba hats
vs_shoplady86,@vsluxelove 😳
j.russom,She would look so much better if she didn’t wear all that dark eye makeup
beth_ann3,@whitneyj_xoxo
sammi_magin,@steph_eliza @rick_shadez please show Abby lol
hugogil7476,Simply Beautiful😘😘😘😘😘😘
imankhan11223,I think she’s on meth... it shows
sarahlovey32,@carsons_w0rld ......
lizmogford,@mackenzierebel
carlydukes_,@kelli.eng 😆😩
alison_andreoff,@kflanigan31 her makeup and hair always looks like she went out the night before and just woke up
greghvnsen,I STOPPED BREATHING
grace_plowden,@elizaplowden
imax000,I'm with you..... Brit. ♥
grant_everdeen,@ashleygilly
morgandawnfit,@mandski_is_awesome 😂
gypsylovefleur,I thought you would’ve bought some “beautiful” souvenirs not caps. 😣
valentinray03and,you look beautiful
tarabusiness,I think this is a Cloned Brittney for sure
jquinn_10,@jackieschimmel
jacobanthony_r,This video gives me really cool and very interesting vibes
jennieteds87,언니 옷은 많은데 왜 자꾸 집에서 찍어ㅜ
paigestromain,What is skinny needle?
viniciustrevizam,beautiful beautiful place kkk
ash_laci,More junk to put in that closet @sprinkled_spoon @rosaliafiske
niemela76,So medicated 💊💊💊💊💊💉💉💉💉💉💉💉
dimitri_tonetto,@seniozapruder è da cappelli
lexiajarvis,Looks like she smoking crack
kimguerraa,@susanamagana_
daisyaguilar2759,she's a clone LOL
sldaugh,@haveyouhrd I am confused
andriagraycemua,@baileystrobel1
antonio.paiva1976,💐
jordieurrutia,@tae_risque @jazlynshaye @alissadabest
pammmh,"Wey, das miedo. Andas en drogas otra vez? 🤔"
missmafz,@sottaqqua 😂😂😂😂😂
__orrie__,You would look younger without that nasty black eyeliner.
somewhereoverthepinkskyblogi,Haha Anxiety kicks in🙈🙊🙊 talking soo fast😀😀
hazpazzz,@smirnoffv 😂😂😂
magzab79,Brittany the majority of all these people are trolls! You need to get off social media it's not good for your soul at all. it changed mine on Google plus and I'm glad it went away! I've been a fan since the very beginning and I care what happens very much to you. I say get out of the public eye.🌷❤️
charlotteclark5,@ggimpreza 😂😫
lilypitney,@heavy_____d
paigestromain,@toritjones
michiellet,"She talks like a robot, something is wrong with her 🙅🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️ ?????"
maryam.n.1366,عالي مثل هميشه
jessileitesantos,"Britney, I Love you! Volta a fabricar o perfume Radiance, pois as lojas não estão vendendo mais."
dj_eazy_t,U have to get u a DALLAS COWBOY cap
stewiejohnstone,Cool hats
haileyycarterr,@lexlexkay I cant
tayloftin,@maliboo334
courtney_sprunk,@d_sprunk
6412daniel,What kind of guy do you like?
hannadeanmakeup,@annjbrindle
sanaztalebi.banizi,You were always beautifull and you are😍
agarie5810,ブリトニースピアーズさん英語しゃべっているけどたぶんぼうしのこと言っているのかな？😳😳😳😳
amirpanter_,Missu
amirpanter_,😍
john_johnath,Look like a robot 😨😨😨
morganelizjenkins,@kinseylawton  a beautifully beautiful beautiful vacation.
britney.britney.britney,💖💖
cicatrix_toned,Kween of talking so fast. I love u.
vikramsinghvs1994,World dream girl
bern_gbjb,Rose quartz eooowww! @marchant07
jennaandrade1979,You do and say everything  like your in a rush I think it gives you and everyone anxiety  chill out
somrit7sarkar,Amazing!!!!!!!
tapilotestela3,💕💕💕💕💕💕
deejayjim56,Looking good
mariagiovannavesce,I 💖 You
pumpkinqueen419,@crapimjamie
jpjeminez,❤️
marcjebara,@thefantastic_fox
cizz14,@madsbremner
justirina,"Brit babe, please make ur color of face much better, and recept 1 is facefitness, pls, plz, plz honey 🙁"
charlie0871,@alice21212
sterlingsilver0310,@irenehedrich
ambshuck,#hatqueen
ayesha778,This is cute @mitchfrog
britneyspearsmyidol,❤️❤️❤️❤️
carlotapaynter,@laurentz__
carlotapaynter,@madsandrews
madsandrews,@justinedwards__
oksana_alekseevna1,Schizophrenic🤦🏻‍♀️
jordan_melodie11,@shannnx_  because you need to see this today
kelljaybecks,@angeloj1 this is where meg and dad are going soon and I think we should go
my_love_phoenix,@goar_avetisyan  приведи её в порядок пожалуйста 🙏🏼
dreamynightss,Could be meth.
gabe.r0driguez,@carneyasada_john SEE???
enbell,@dnlchmbrs
reneelebreton,@stephieeee__
my_mothers_child,"@kolateralnazrtva poludila skroz...vidi sta je uzela,vidi govora."
pawljebara,@marcjebara @nataliejebara
angelhattingh,@britneyspears I really feel sorry that you have to read all the comments people post about you - you just do you - As long as you are happy
isabelyungwirth,@kendrammills 👒
petamae,@beckbutcher
misss.melissa,Just remove the awefull black makeup around your eyes... Dosen't advantage you at all..
dentist.yasmine,Wash your hairrr please !!!!!!!
guitalistt,AMANYARAbim
ctina.shannon,@brandonp.ray
krzywadad,Your very sweet
stephjaksch,@mialsmith
sheri_colin,@ninaharrison203
dominiquewisniewski,@emmacreighton
lorenasilvestritanteri,😱
cammcqueen,@casey.freed off the deep end
gutterboy,Hmmmmm are you ok Britney
victor_dmitriev_1989,Ахнуться как она постарела
davymartino,hope everything is going well
alitaravat295,چقد تند حرف میزنی بریت 😉
reginagonzalez,@ericawolfe
red.gypset,U on holiday rn @basic.binx #contentideas
mollymeyer19,@maddiemax
claire_crd,@nemesis133 pas mal ça aussi
rach1989_,Blow your nose it’s blocked... Wash your hair and remove your eye makeup please 😨😓
kellorg4,@chelseatropeano they are dragging her in these comments lawddd
v.zemlyakoff,Жизнь потрепала старушку
