user,comment
britneyspears,Verified
arida509,Boring
josepafonso,😍😍😍😍😍😍
sousaynes,Morde me no pescoço
jordanjayharrison94,Kneecapney
bek_baxt_93,😍😍
tara.doxx,Princess bath my mum used to call them💕👑
tellerainnathalie,💕
chrsminton,Yea
naresh_shandeliya,With my love
amanda__r0se,Sick💜
cutiepie5259,👏👏
dan1977dawsong,I wanna see the flower
warthog36,❤️❤️
ronsmith6473,No champagne?
muddbaby30,egg I'm
kavala.suresh,😍❤️
wollmerdiaz,Divina
paolagriselsalazar,😘
robrod777,Still smoking🔥🔥as ever
vickkyharris,👏🏼
dorisrazz,How fun. Thanks that is a good idea.
drigoestevan,Are you in my bathtub?
birneymark,A little bit higher please
lowphat305,how them toes looking??
wheaton8147,That is so hot Britney
sara1986____,Everytime😍
mentor_for_myself,Follow me for more happiness🍀😁
jjohnson083,😲😍🔥🔥
miskillbobby,Let me in💥💥💥🔥🌋🌋🌋
puxxypricey,Relaxing
jarvirdz,Brenda Esparza México lob iu 🤩🤩🤩
zachcoopdad,...gina
rodrigosombrero13,🌺🌸🌺
mirzakhurrmi,Yummy
lynnespears_rf,Look at that tan! ☺️🌴
ponchomtz77,♥️♥️♥️
peisail,nice ear muffs
power_plant_ops,I’d love to be a plant in this photo. 🤩
shoot_film,💝🙏💐😍
lulucilles,There’s like 4
nossouberchegou,Humanas lavam a pepeca com água e pétalas de rosa? ET Bilú quer tirar essa dúvida. 🛸
mbtsportcars,☀️☀️☀️☀️☀️
juliossouz,Resting the legs that carry the pop music ❤️😍❤️
leonard.harper.984,If only I could be a petal
stevebannonkevin,Britknesss
stevebannonkevin,I wish I got a girl so I can listen to Britney spears with her and show her true love
sandami485,🔥🔥🔥🔥
javi10314,Nice tan
redhoodedrants,I guess I just think you deserve more than 30 petals.
jimmyv31577,Wow!
dias_raquel,"Para Ney, vai dormir mulher"
mhinabag_store,En tarz çantalar için sayfamıza bekleriz❤️
melissy769,Beautiful
nobodygetsyoungercozimavampire,I thought they were my legs😂
skyyalex,Delicious yummy yummy
oldemarmelloalberga,Pernas perfect Photo só much cute rica Photo pé more
fraczekmama,Very relaxing ❤️
laurenleighphd,"Don’t forget to wash your hair, girl! @maddyroll21"
tinks280616,Love it 🌹💞
jayinohio12,Where’s the sausage garage? 🤷🏻‍♂️🤣
amyrenee2166,@dani_1123 those petals
vallespacorasoledad,ajjjjjjj
marvell_avengers_,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🔥
maohmed_thmer,Xnxx🔥🔥
dj_502daville,And more please lol
sukruthipatil123,Just a little back in pic would be better
nvstepie,Heavenly
perrywinkle777,❤️❤️
jaiprakashmirdha,lucky to have
ganesh_thumma,🌲🌹🍀
justin_bhhd,Yummy
somervilledoug,Have always loved ur gorgeous  legs love
official.maya4,Don't check my profile👍😍😜
matternbennet,Cool
arhaan_malik_varanasi_team_099,🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹🔥🌹
arhaan_malik_varanasi_team_099,Osm💞💞💞🖤🖤🖤fabulous💘💘💘🔥🔥🔥cool💙💙💙💟💟💟Master🖤🖤🖤🔥🔥🔥jalwaashp💜💜💜💗💗💗kantap😍😍😍😜😜😜katil🌹🌹🌹🤝🤝🤝nice💯💯💯🤗🤗
349pm,I can't believe Britney invented flowers
king_emmortal,Blossom
shreyesplease,I wish I was a petal
gurumouse,Wish my name was petal..
ksenya.kuznetsova.91,Красивые ножки 🌹
dunghadang1971,"Ok, very great ..."
garethbayet,Hot legs 🔥❤❤💋💋
2revelation11,@britneyspears I had to come back here after your talking about your watermelon and salt. Your talking about your beautiful beautiful purchases to remember #Aman and then talking about a bath with all your petals. I wanna show you something that would have really made certain you never forgot #Aman.
the_barbender,Being serious when I offer to come scrub your back. I'm a very considerate and thorough cleaner. Let me know when assistance is called for I'm available for you 24/7/365.
luiszun1ga,queen
mrtgwilson,Beautiful legs
emmahazeltaylor,"That's not a very deep bath, but some more water in it!"
tediramdani2673_,Kaki siapa ya??
nibbles_charrlote,"Petals, a girl's  best friend/ first love"
andyarsb9,Pati seca
katiehaystaylor82,Pretty tan!
klynn5562,❤️
itscbitch,💖💖💖
stephmclee,"@britneyspears you are an amazing lady! Saw you one time at a Target in Scottsdale and I didn’t bother you shopping. But no doubt I went down the other aisle and was in awwwww. You were so sweet to smile and say “hi” though. Thanks for the memory, ❤️ you!"
aila90324,"Hi britney , dont let some one, tell you : hey , you are only a singer !!! Ok? be happy ...🌼"
josepafonso,i love it queen
josepafonso,pernas do pop
josepafonso,<3
andrewkaufman7,Are you going to answer me?
sweetpeachbud13,Someone looks really bored.  Go write a song
rekopontikishotmailcom,❤️
britt0986b,@kaylachristine17
baba_srk19846325,🔥🔥🔥🔥
nagilaavi,Perfect ten
duvinchel,"Hot , umm illll like yum. . ."
marissa_lvnyc,Best legs ever
funnygamesvids,When i grow up i want to be a rose petal:*)
nondimedropper,And a petal nose cutey 🌺🌈☔🌟
sesportese,Sigo de volta
ninabomber,"Petal Time is the BEST!! I usually add bubbles, epson salts, a thc bath bomb & candles"
mikesilverferret,😱Hello Legs!!!😍🙏
angiesmitherz,@britneyspears is it fun to be rich? I’ve always wondered.
sayo_tochiba,Chic🌹🌹🌹
audreykubly,Looks very relaxing
toniixxo,@nglov3r next bath
mikewg613021,Hand spraying !! 😜
andywoodsz,Oooohbbbbb yassss I love a good bath!
gordonkopecki,That what i like but want see all of you good women
josepafonso,i love you brit
geannevanessa,a maior rosa eh vc 💟
twopoppa,belles jambes
buck_06,Nice legs
jubepoetry,Neat
stevewurzbacher,Oh yeah beautiful thighs. & legs mmm💕😍😘
raissafigueredosousa,OLHA ESSAS COXAS 😻😻😻😻
gibasantoro,ARE U OK HONEY B?!?!?!?
thatkidcero,Bathing needle
karin7877,Y?
brienleon,Can I feed you grapes Britney!🍇
marcellosaymmon,we love a skinny needle with beautiful legs 💗
meelindalin,You should do this song! 😄  https://youtu.be/DUgu1Zizkik
scottzick68,More teaser
jack.jones.1044186,Great legs
pilili25,eres seca!🌹
claude_carter246,Nice legs Britney.
luis_astudillo_702,Quiero estar ahi contigo.
lutchau,Putz morto com a lenda
fideliogallery,Relax time 🍀💜
darwinmo89,Neyde enserio las tienes curtida... Q opinas @priespuera
valentintimofeev37476639,dayjalisa1982
britt_grills_21,Need more petals 💛🌼🧡
gussanchez72,Lindas piernas
alininho_g,🔥🔥🔥🔥🔥🔥🔥🔥
williamturner1157,🔥🔥🔥🔥🔥😘😘😘😘
britlan.kamstra,@_ashkam_ I immediately thought this was a pic by you
britlan.kamstra,@_ashkam_ then I seen the knees
low_lowz,Your beautiful Britney n you don’t have to filter anything your all natural ❤️🤗
karastclair,@prairiedesfemmes
arangovicky,Huyyyy q rico lo q te mereces lo máximo 👏👏👏
adventures_with_tara,My twin soul💕 think I may do this tonight
kosmic.cd,@britneyspears YEAAAAH 💕
awesomeagain1,"Petals of KatharizoPetals has they float onto the water, releasing the light they had consumed. The water moves their spirits, cleansing the soul that it absorbs. ~ Renewed Life @awesomeagain1"
