user,comment
britneyspears,Verified
rugohugo,"TU TÁ METIDA COM BELA GIL, NEIDE???"
lindafiannah,@g_a_1_a_  nuova ricetta estiva
plyofit27,Yes so good
joshuamatenopoulos,Yasss queen
tangie_bell,Yasssssss💣💥💥💥😁😁😁😘😘😘
b.for.bryce,@nschneidz the official snack of pride
kmhull84,I love watermelon and salt♥️❤️
_a_r_s_e_n_97,😊
amy__east,🙌
rosadiazzayda,@britneyspears Never had it like that...does it taste good?
jabadabadoo0,"Ever tasted watermelon, bread and feta (Greek cheese)"
morganjebeles,Always with salt 🧂
laurpotts,@lavon1707
watermelonboard,Hit me 🍉 baby one more time🧂
rosybleu,Brit invented watermelons 💖
matizabcic,Brit are you ok!!???
jusstiiicee,🤢
juicyn_oah,A healthy icon 😩😤
cortneylevin,You can take the girl out of the South...
dnn_arc,Salt and cayenne pepper. 😋
heather_c_gray,@mamajoye61
austinfortner,@ilewiscal reminds me of you 😉
jamiesonhollie,Ewww
chanceforpresident,You can keep the salt and pass the sugar lol
jabberjaw401,Bob Lazar alien
juliocesar.silva.549436,🍉🍉🍉
marianamoraisp,Credo que delícia!
valleygirl602,"Try Tajin!! It’s the bomb, especially if you like a little spice!! 🤤🌶🧂"
dondeestasara_,Noooooo
gavinraddall,@erinsteeves @victoria_parsons hi im just gonna put this here 🧂🧂
zalina211215,Try to it the watermelon with a cheese 😍😍😍
jacbellmore,❤️
erick_erkventura,😋😋😋😋
kathleencuellar,@orlamaud
lovelustlissa,Yessss country girl!!
pgjurado,❤️
realjoebluemusic,I’m waiting for new music from you Britney
marcoantoniovfz,Tú y tus combinaciones niñaaaaa😂❤️
kknevada69,Watermelon+cheese=❤️
arya.the.yorkie,🍉 and 🧂 is a must!!! Love Himalayan salt!
yasbo77,It’s a Southern thing. Can’t eat it without it.....or cucumber or tomatoes!!
kyle3strella,WHAT I THOUGHT I. WAS. THE. ONLY. ONE.
3j_cj2k,@haleyljo  AND SALT
thomaswilliams828,"Up next... Watermelon and pepper, rely put the red in d fruit 😅"
sarasofiaruiz,And lemon
shanousarous,Diet? That's just how people eat watermelon lol
aimiday80,@fennajacquemart you and Britney x
patycarosalinas,The best combination
fatinha.bezerraa,Tatuagem
meikaleblanc,"No, Britney."
urrrgirl,And TEQUILA 😻
tiffanydkruger,#smithcounty watermelons are the BEST!!! ❤️❤️
gustavo_capistrano,Eca
catina005,Theres that Louisiana coonass ❤️🍉🧂
suhadsarsour,Watermelon and salty cheese
eydentania,She doesn't even read these comments😂😂😂
happybuteraz,Ew
poshpapitm,Ardiente!! 🔥
pamelagraham85,Wait what? Lol
nathanrounce93,Watermeloney
k.a.r.y.n.e,Huh??
maryalarcon,And salt???🤨🤨
abbeyjasminerose,@hoplikerew this is the way it should be
evolutionhappentonoah,Are you love to yoğurt
krisska___,Try watermelon and feta 👌@britneyspears
miska_n98,And Salt?! 😶
melissa.wingerstad2019,Plis följ my❤️❤️
skawty,My fav ❤️❤️❤️
icebreaker34,Yummmmy
xsouthpaw5x,Hold the salt @britneyspears
iamhansonguy,That’s how we do it in the Midwest too! 🍉 🧂☀️
mollyboydthomas,That’s a Louisiana thing ❤️
johnvan5,Love u Brittany Brittney murphy does as well🙏
gries_lie,I like it .... 👍
iamsheryl04,😍
_bellmendes,@maa_mendes veja se não é a melhor pessoa do mundoooo!
rbernalesch,Ah?
jessicamariebrown1,Same Brit!
luna_rarity20,Saaaaalltt???! 😂😂
robinsmothers,Who eats it without salt? We can’t be friends then! Lol
burnhamemily,It’s my favorite 🤪
burnhamemily,It’s my favorite 🤪
lindseymaechild,Wait @briannacote89 🤣
fatemehaskariofficial,😯😯😯😯😯
___blossomc___,Huh what now??
robortegastudio,This is the coolest!
tastesofny,@dianaeatsnyc omg
pattersonrobyn68,The only way to eat watermelon ❗️😋 👍
nataliakrsk,Interesting thing👍never tried😳
kfitz320,The best (and only) way to eat it!
fwebzzz,@kdeaney it's a yes from britney
lucylambert82,@ffd.kk to ale není salt
gemsadie,Is it nice with Salt on . I have a 🍉 in the fridge I wanna try it with salt on now cos Britney told me too 🙋‍♀️
thulin.backerofmusic,Sugar...
zarahsmama,Wonder if that's a French thing @britneyspears
censkeandy,"The way to a mans heart, through his stomachs"
stfn19,@rallewhoo mood
emoney.red,😁😁😁 for a piece of watermelon almost 180k likes 😁😁😁
vampire_papi11,So fetch!!
stacysheajones,Try tajin
g.r.a.j2,Watermelon with salt ???
georgia_reader,@lexisquillace
ohbtchplse,She’s been drinking!  Watermelon 🍉🍉🍉
northwest7,Southern WAY!😍❤️
ericalva91,That’s too small. Gimme gimme more gimme more.
dennyaditya12,Foto beginian doang like nya 100an ribu kalo gw yang ngepost yang ngelike gw doang
idarovsing,@kavianborhani guldkorn 🙌🏼😂
soy_de_azucaar,Delish
_happyleigh_,Always a true southern girl!💕
chegini7947,یعنی لاکچری یه قارچ هندونه
hayetdh,Salt ? Tseb fetwensa hedhi @ayoub_dhouib je suis choquée 😭 @soph_bslr
