user,comment
laurenbushnell,Verified
efergie13,Verified
colympios,Verified
andreeacristina,Verified
amberlancaster,Verified
margoshry,Use this caption for every photo
_lindsayhutton,When can this song release? I’ve watched your YouTube video like 30x’s at this point just to hear it 😍💛
mikaylafarris,"Um yea, when is the song going to be on Spotify? I’ve checked like 20 times already lmao."
chloenicholls14,I NEED IT ON SPOTIFY NOW
tay_nicole23,"Big, big standard to meet for all other engagements 😍😂❤️"
brooke.reed_,💗💗 can’t wait to see you two grow into an amazing family. your relationship gives me so much happiness and reminds me there is still SO much good in the world. you two have such a genuine relationship. stay golden💗💗
m.k.j6791,I don’t know about you but I have had that song stuck in my head for days! ❤️
plloner30,We will have to wait and see if this marriage happens. Lauren loves every guy she has been with
shaunhayward,RELEASE IT SO I CAN STREAM IT OVER AND OVER @iamchrislane
mariadavis1965,Lauren I am SO happy for you. You truly deserve a MAN who will love and adore you! Congratulations 🎈🎉🎊🍾
lindsayell,Verified
kelsiemma,"We’re all gonna need that song released, until then, I’ll just cry watching the video 800xs a day 😂"
whitjyoung,"Big big plans, can’t wait to all move in together!"
juliakingsbury,You guys are going to have the happiest life 💛✨🎉
killacourtt,Love your boots! Where are they from?
mariyabentz,Cutest song/cutest proposal 😍 I legit cried haha
erin___walker12,😍
thelifeinthechrislane,Y’all 😍❤️
nikkidanny,@brittanylynn_ omg these boots
sarabmelom,@nicolecrummy @torijolene so cute 😫
brittanyroseblog,@julia_rosinski I’m crying
marleeturnipseed4,oh my goodness 🥰🥰@marianturnipseed
meganmartignettii,@katpicarde ugh wtf
d_realkadian,@laurenbushnell God plans
hiimannette,@brittanylogrande @nicoledefillipo @victoriaasimone I sobbed just watching the music video
sara_culbertson,@emilyculbertson_ @erinnmiller14
rileybraswell,@emmacarlson_ @laurenoharee 😭😍
sonderandsilver,y’all are just adorable. completely meant to be 💗✨
atm1323,@ldod
missloganrenee,@dnwillis_ I can’t even
nykamphe,@khali_n_ryan
shanayamarcia,@donnelynmorrison  I love them
_katevaughn,@kearsyn777 that song is still stuck in my head😍😍😍
alexandriamarsi,@lohhhneill still cryin
kassi_early,I’m still crying 😭😭😭😭 @delaneyroche @nancyhunterb13
kt.healy,release the song already ! @kerimclaughlin
kendallcanessa,@christianaminga 😭😭😭
hall.lisaa,"Still crying, smiling & singing along!  So excited for you both! ❤️❤️❤️"
jennamolero,@brittneysearson
kenzie_mcdonough,@mmimnaugh I’m obsessed
emmamcdowall,@toreewenaas ugh
kylefreskiw,@katerollauer
morgannashley6,@tiffleerod this reminds me of that shirt you had in senior pictures.
ca_millie_4,@sarah_c5467 I think I just got engaged from my level of happiness from this 💗
stephgrace77,@mtheocharis
genie.reyes,Hope this doesn't last.
kylie_nburton,"Omfg I forgot to ask you too, have you seen their proposal music video thing? @misstinyteags"
keegananfield,@addiealdersonn I can't
alydziminski,"@samipena they’ve gotta cool it, my heart 😭😭"
katieflaten,@adufrane I can't handle it.
maddddileighhh,@lexie.compton 😭😭
kennidow,@parisriggio copied me with my caption
laureide,@ginadedo
kirstinryd,@kelscroall
mirandaroussel,@brookemroussel she stole my husband I’m so angry
addieemc,"CRYING, good tears though, I love y’all ♥️ heart so happy"
hayleehitchan,Cryin 😭😭😭
eunicechun,Ahhrjfinfkkeoepdjkwiqosjcn goals 😩❤️
chelsiee.paige,Dyingggg 😘 so so cute
esuzzza,Tell us everything till there's nothing we don't know about you both... @laurenbushnell @iamchrislane 😩✨💓
nicole_kline,Can we post the song already on Spotify hook a sis up
andi_kriebel,@olivia_barron
akali_xo,@iamchrislane release the song
californiapoppii,OBSESSED. I can’t stop listening to that song!!!!!!!!!! 🔥🔥🔥
michelle_sturino,U better be coming to Milwaukee July 6thb ❣️❣️
kltr1997,Faves 💯❤️
victoriaaaaaac,Release the song
sarahpboyd,Cuties!!! Yes!!
anniepapi,The absolute cutest...in the history of ever!
kendallrobinsonn,i love you guys
everydaypursuits,😍🙌🏽 So excited for you guys!
ashleighabrigg,@laurenbushnell I can’t event imagine your life!! ♥️♥️♥️♥️💯💯💯🙌🏻🙌🏻🙌🏻
melissa_m_parnell,❤️😍❤️
kristina_pos,@jenn_pos @drn.t 😭
briibarton,My fkn heart hurts ok @k.r.manny
skyyecarlson,@m_howard3
ladykay07,😭😭 @lindyjaaane
kimberleyhermann,@alisonxjc I love them
rizanugrahenii,Mau kewong mba lauren @tarrianggraini
kyliewystrach,@stephanieredmond 😭
nzjenna,@sierraperambo i CANNOT deal
shannonrene,@kyepalm19
_sydneyycampbell,😭😭😭😭 @zarynj
lindsey_hogge,@alytulloss new bern 🙌🏻
andie_merm,@halliefeldmann @haleycur crying
meghannkrone,@makenziegwinters
brittanysampsonn,@dorasomody @caitlincaspar ugh
katherine_saune,@laurieesquinance  her boots 😍😍😍😍😍😍😍
kelseyytaaylor,@sara_switz  here comes the tears 😭😂😍
ashbean,I want her boots @jordykaster
rorysfirstwife,Ded
jayrae2018,YESSSSS @samantha.farr the video I watched
elkhorniowa,You going to @okobojichamber with @iamchrislane ??? Awesome!
venuswest,Where are the booties from? 😍You two are so cute! 😍
hayleynorris10,@lizkhalifa11
sofiaventrescaa,@chloe_cahalin
emmicarroll,@mikalaferguson_
kelllbelle,@keriannegibney
pcblindsay,This is adorable. Though I cannot wait for man pants to be in style again.
classyguitar87,Awwwww I'ved watched that video like 10 times. So beautiful 💕💕
iyovis,💛👑✨👑💛
_bnorman,@sheashea_xo 😭😭 still dying over this. Sooo cute
skylar_831,@samantha.428
jessicamusmanno,need this song on spotify asap
jessicabrocklesby,@carolineconnly I’m obsessed ❤️❤️
jeni_edmunds,@ace__427 go watch this video on YouTube and try not to cry. I’ve watched it at least 10 times crying every time. ZERO SHAME
abbyca.dabby,I legit have never seen something that makes me happier! This is wonderful! You look WAY happier than you ever have! I’ve been watching since the bachelor and this is the BEST version that I have seen of you Lauren!! Sooo happy!!
katelynsuehinkle,":,) crying @mirandamadiison"
meredithgerdes,I remember when we met In the bathroom with your sis in Vegas . You deserve it !  You have found exactly what we’re all looking for and I am so happy for you- especially after meeting you.🎉💚
alisonfelt,"@laurenbushnell @iamchrislane I need Big, Big Plans on Spotify 🙌🏼 I can’t keep watching the video, I will just keep crying every time 😂🤷🏼‍♀️"
kristenvanags,Are you in Virginia?❤️
shell_vert,@elise_vert
mariadavis1965,Not so big. Ben never acted like he was really serious about marriage
tbugryn,@paige__gardner
brigid_mckee,@sarah_penney crying
em.smith_,😍🙌🏼
graceeecurtin,@kayliemorgannn_
jessica_wadsworth,You guys will have the cutest babies one day 😍
jennarodg,@meghanpilkey obsessed
liveloveblank,Aww sooo sweet💋💕
alishamarievee,When you play the song on YouTube over and over at work all day 😂
mommyashlee4,Is this song available to purchase? I love it! @laurenbushnell @iamchrislane
ohheyitsdannii,@emalay1 😭😍😭😍😭😍
laurdandrea,@andreacartwright !!!!!!!
emilyoverbaugh,Need. This. Song. On. iTunes. Stat.
hmmkylienicole,@caitlanlozano I’m crying 😭
hey_its_kaekae,When can I buy this song ?!
_hayleylecourt,😭😭😭😭😭 😻😻 @jax_lecourt
grnjeep95,Lucky lady
gsantoriello,Are we going to be able to download this song???
amywgalloway,@tour_de_hanzia ugh my fav song ❤️
dogtorlopip,@maddie_christen
ali.herring,@jadyn_henry
hrg18,Chills ⚡️🤪
natalieturkowski,freaaakkkinggg obsessed💓
carlyreale,@kassidaddyy
debbiecullinan,So awesome 👏
juliacmckenzie,@ameliawilliams5
jacquicole,🥰🥰🥰🥰 @hthreeevents
allyconboy,@alxibe caption
mustbethemandayyy,@bennett_katie
stylecusp,❤️❤️❤️
cierrajank,Boooots 😭😍 @saralasley
em_walkz,We need this on Spotify!!!
brookecombz,IM SO OBSESSED
