user,comment
laurenbushnell,Verified
bmatt84,"Dang Bush, I just spent 4.99 on the Kroger brand 30spf....needed this post 24 hours earlier"
julesostrand,Where do you get all your cute perfect fit jeans?? I have such trouble being tiny💕
catherine_keeling,Where is your shirt from?!
mississippi_grl77,perfect timing!!! we will be in town starting Friday 🙌🏼
britnidarsey,Is this real life?!?!? I live in Panama City and absolutely love watching you!!! 💕
jensav11,Verified
ashleymelisse,I literally live across the street!! Yay!!
hall.lisaa,Beauty 👑❤️
itylersheridan,This is such a pretty picture ❤️
lace_starr,The Ultra Sheer Spray works great on my babies!!!👏💖
piecesofemerald,"Loveee neutrogena! And you look gorg, bride to be 😍"
ainsleyduckmoore,Can you please come to your fiancé’s concert in Arkansas on Thursday on the way to Florida so we can hang out and become best friends lol
desbell_,@raee_laney whaaattttttt!!!!!!!!!
torreyeberg,Please tell me you will be in okoboji Iowa for @iamchrislane concert the 30th?
courtneyfwilliams_,@laurenuhls wanna road trip? Maybe she can tell us where she got the necklace from!!
kennerlove,@lahwood
chloe.broookss,@jaydealayna so drinks and then go meet Lauren on Saturday????
taylor_neelyyy,Omg @alyssajeannn @sydneymarshburn let’s road trip to Panama
neutrogena,Verified
carly_ponder,Let’s take a trip to a Florida Walmart @leahmessenkopf
averyborg,@elle.borg wanna take a trip🤩🤩🤩
amcarsonn,@emkuehn should we fly to Panama City in 4 days ??
cassbuckett,@lyndsi_chapman i think we gotta go get some sunscreen saturday ??
erinmpemberton,@emma.stamps oh
ames0411,@lindsay_skipper omg!! So sad I’m not in pcb. Please go!!
sydneyhunt,@_emilygrant_  omg!!! Go meet her!!!!!‼️‼️‼️‼️‼️
linds.warren,@alimyers18 🚨🚨🚨🚔
ltumm,@kaitlynmwinner  just missed her lol
rawmontage,"@laurenbushnell Did you know that all 3 of those sunscreens have multiple active ingredients that are endocrine distributors and can mess up your hormones?Just a few ingredients to look out for when buying sunscreens: Oxybenzone, Octinoxate, Homosalate, Octisalate, Fragrance with phthalates,(these all are endocrine disrupters and can mess with your hormones), and Retinal Palminate (type of vitamin A, that can increase the risk of tumors and lesions when applied to skin and combined with sun exposure). Neutrogena does offer a few sunscreens however, that have fewer toxins. For example:- Sheer Zinc Dry Touch Sunscreen Lotion SPF 30 & 50 - Pure & Free Baby Sunscreen SPF 50Just a few thoughts! Thought I would share 💕"
jilliann_cohen,@nicolecarrollll plz share outfit deets larrrren
haleyholton,@molly_mudd the Walmart in Panama City beach brings back good mems 😂
karissacarroll,@skylarrdavidson important
hannah_prather11,@a.wilson04
lindseyjvienneau,@madisongentryy
megan.bunder,@jordychap @lyndsi_chapman @cassbuckett @brightonchapman
maggiemoeller,@olivianiestrom I feel like we have to go to my condo
