user,comment
selenagomez,Verified
otaviobinsika,LB
so_ofl,Lmao i can’t do it neither
wennywennyz,So cute 😍
noyan.u,🇹🇷
143bail,Lol I can’t either hahahaha
selenastian,😂🖤
crystical.tattoos,👌👍
ciselay,🙌🏼🙌🏼
srbp0_,FB
jordysanchez137,😍🔥🔥🔥🔥
susun_abduljaleel,😘
vahid.maghrebi,You are angel😘
ddlovatodutch,Lol i can do one side really good and the other side just a little it's so weird
hamidrezamohammadioficialpage,😍😍
sarah_suid,Can’t do it ether
paramveersingh357,Love you so muxh❤️❤️❤️❤️
ciselay,🙌🏼🙌🏼
radwan_______,I can’t decide that I liked this photo because of composition or place but it is really good✌️😍
amirat_bollywood,I love this video😍
ishwar7977,Amazing
dark_night_of_a_soul,🔥
xoxo576899,I wish I could have a friend like you. A friend that would be there when I need her the most. It gets pretty lonely and sometimes boring. It’s been hard to keep up a good friend. In my whole life I had two bad friendships. The other ones they just move away or are busy. I guess you can’t have everything in life. Anyway I hope to meet you or go to one of your concerts. I’m dying to hear a Christian song from one of your new albums. 🥳🥳🥳
rasoolpathan,💌💞
jaynemey12,Why are u so weird??
armankhan7939,Thatsssssss sooooooooooooo funnnnnyyyyyuuuuuu
lema.r3,👏
zgfjfh,Hhhhhhh lol me too
bruunno.silva,#f4f #sdv #followme
shawdy1.red,OMG I can't do it either😂‼️‼️
katerine_marin08,Idol
_koguisso,#followme #sdv b
aminpopsinger,@selenagomez  you are my life
ammxyh,😂😂😂
mel.ro.se,"lol I can do it, don’t know how or why I can and you can’t, BUT I CAAAAAAAN 😎😎😎😎😎"
bonni_tft,I can do both top and both bottom 😂
farhanm0910,Wow
mebarek_israa,😂😂😂😂😂😂😂
melparidy,@_chloebrandon
oz_1515,Lol
braiian_mc.xd,😍😁😎
sonido_sensacion_carey_,😍❤️😘🌷😘😘🌷😘❤️😍❤️😘😘❤️😍❤️😘🌷😘❤️😍❤️😘🌷😘❤️😍❤️😘🌷😘❤️😍❤️😘🌷😘❤️😍❤️😘🌷😘❤️😍🌷😘❤️😍
diegomarval97,Toulusita❤️
purcell7470,Selena Gomez is a devil worshiper 100%
catalinahoran93,TE AMO!!!!!!!!
catalinahoran93,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
catalinahoran93,You are so cute
don_killer_3,Ahhh is cute 😚
daniceduarte01,I can’t do it either hahaha  love you 💓💓💓💓 @selenagomez
mobinaaa1437,😂😍👌👏
mobinaaa1437,😘
dahirumsharef,Helo
reza.anary8,خیال میکنی خودت خیلی خوشکلی hemar
insane155,❤️
playlistbest,@playlistbest welcome 😎
desi_amelie,😁😍
fahriza.ersa,Hahahhha i can
afrodite_salao_de_beleza,Deusa
visao_dos_casais_s2,Ou
patriciosergioparrasanchez,Guay
mitchelltherockstar,Ah I see 😘
oliviaomalley1,I can do it only on one side too lol
xadya_6.6,😂😂😂
mr_ahir_vpl,Supar
sadeg_skillse,Hello😯
brunobroquet,Tu es jolies
nsrjwnylbsry,😍❤️❤️❤️❤️❤️❤️
alirouhi9592018,ماهی
bts89k.66_,@jdxce 🔥🔥🔥
bts89k.66_,@jdxce 🔥🔥🔥
eterno_gabriel_dinis_fa_clube,@eterno_gabriel_dinis_fa_clube
d.a.zx,🤗💘
ss_qlf,Why Her voice sounds very strong like a man
sonjae_,OK BUT I CANT DO IT EITHER
sadboys.vibes,Check my profile! Thx
shopdesignher,Lolllllll
shopdesignher,Hehheeh😉😉
shopdesignher,😉😉😉😉😉
bizzledom,i can do it too hahahaha
isabellacpinero,omg same
0.q_to,😍😍😍🙌
0.q_to,😘😘😘
jennionth3block,I can’t either!!!🤪
rosenicolex,Lol edibles are great
serkankahyaa,@fthsylp65. What the😮
ugle1320,😻😻😻😻
nxsy_b,❤️❤️😍
nxsy_b,😂😂
nanuka.gogoladze2,you ar my favourite singer. i love you
donjuan1312,😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇
donjuan1312,🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝🔝
donjuan1312,💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫💫
azatgunduz668,Gt
azatgunduz668,Gt
rasmu.b,"Lol, Even I can't 😂"
abdi_nkri.id,❤️❤️❤️
oqil_official____010,😍
