user,comment
selenagomez,Verified
ratunidahs,💙💙
selenastian,🖤🖤🖤🖤🖤🖤
julialove28,My love 😍
sim_____2019,سمیرا تو مگه دختر نیستی؟؟ تو مگه احساساتی نیستی؟؟ تو قلبت نمیگیره هیچ وقت؟؟ چرا تو حال منو درک نمیکنی هرچی میام برات توضیح میدم؟؟ من به کی پناه ببرم؟؟ از کی کمک بخوام؟؟ برو به کل دنیا بگو اصن. بیشتر ادامه بدی، حق من بیشتر میره گردنت!! تهش نتونم تحمل کنم خودکشیه بخدا. میدونی کل یه سالی توو سمیه بودم میومدم پشت در اتاقت، دنبالت گریه میکردم. تمام اون دفعه هایی اومدم در زدم، داشتم از غم میمردم انقدی که دیگه پاهام خودشون منو میاوردن پشت در که به قلبم بگن اینا سمیرا اینجاست، هیچ جا نرفته. اجازه بده گلوش نفس بکشه!! تو اگه منو هم بکشی، تمام زجر دنیا رو هم بدی، باز من دوست دارم. فقط شاید گذشت زمان کمک کنه از یادم بری که تا اون موقع من مردم از غمت. رسوا کردن من چیزی رو تغییر نمیده، فقط عذاب بیشتری به من وارد میکنی. نهایتش خودکشیه بخدا. تو یه قسمت از قلبمی😢 مگه میشه من بدون قلبم زنده بمونم؟؟ وقتی بهش فک میکنم که دیگه باهام دوست نمیشی، بخدا نفسم بالا نمیاد. تو چرا متوجه نیستی؟؟؟ این بغض منو میکشه. من تحملشو ندارم. موندم قلب تو از چیه!! بخدا تو اشتباه کردی. گند زدی سمیرا. ریدی به روح من. من فقط تو رو خیییلی دوست دارم. اینجوری رفتار کردنت، جیگرمو خون میکنه. فشار عصبی وحششششتناکی بهم میده.
articbird,Queen
meme_team_today,Like this comment if she was your childhood crush back in the wizards or waverly place days 😂😍🔥
aka_jessis_christ_,😠 now gets me is you seemed a little annoyed 🤔
exosexovine,Bebegim
selenastian,😍😍😍😍
selenastian,🖤🖤🖤🖤🖤🖤
aka_jessis_christ_,Since we are judging shit I'd have to go judge that as some sorry ass friends 🤣 but what do I know looks like I have none 😳
ciselay,✨✨✨
